,To,Recency,Frequency,Monetary,RFM_Score,Segment
0,A.N. Alodan Sons Co. Glass Aluminium Factory,129,3,6130.0,223,Mid Value
1,AASIA TECTUBI FACTORY INDUSTRY CO LTD.,737,1,2700.0,443,Low Value
2,AFAQ STEEL,806,1,2975.5,443,Low Value
3,ALNAFIE METAL INDUSTRIES CO. LTD.,261,1,1840.0,344,Low Value
4,Advanced international trading company AITCO,147,1,12000.0,242,Low Value
5,Aktar Steel,11,7,27534.0,112,High Value
6,Al-Kifah Precast Company,218,4,148299.0,321,Mid Value
7,Amiantit SADIP PLANT,128,3,123451.0,221,High Value
8,Creativity of Cranes EST.,276,2,2560.0,424,Low Value
9,EASTERN MORRIS CRANES CO. LTD,191,1,1040.0,344,Low Value
10,Global Anti Corrosion Technique Co.,374,1,1200.0,444,Low Value
11,Gulf Packaging Industries Co.,231,7,123041.25,311,Mid Value
12,Henan Weihua Heavy Machinery Co.Ltd,35,1,190178.57142858,141,Low Value
13,MASDAR BUILDING MATERIALS,17,30,92970.58384615,111,VIP
14,Mitwalli Steel Products Factory Co,11,4,269710.0,121,High Value
15,Packers Plus Saudi Arabia Industries Limited,45,10,68135.0,112,High Value
16,SHARQIA STEEL FACTORY INDUSTRY,9,1,1215.0,134,Low Value
17,SONS OF ABDULLAH A ALSUNAID COMPANY,452,1,700.0,434,Low Value
18,SSAB SAUDI FACTORY,155,4,18290.0,212,High Value
19,Specialized Steel Valves,70,1,59413.0,232,Mid Value
20,Sulb Al Jazeera Concrete Manufacturing,52,17,603098.18,111,VIP
21,The International Electrical Products Co,270,4,33875.4,312,Low Value
22,Triomada Plastic International Co.,474,1,2867.5,433,Low Value
23,Tyne Gulf Industrial Company,192,1,3337.5,333,Low Value
24,United Wire Factories Company,87,1,11250.0,233,Mid Value
25,Winchy Kuwait Company,506,1,2000.0,424,Low Value
